,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1711297779.4467483,56755.0,6960.095,16880.0,3631.638,"{'root--consul': 9.0, 'root--frontend': 8.557377049180328, 'root--geo': 8.852459016393443, 'root--jaeger': 7.704918032786885, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 7.852459016393443, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 7.852459016393443, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 8.426229508196721, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 8.540983606557377, 'root--user': 8.0}",1711297779.4467483,1711297810.0017881
1711297810.0032187,63435.0,4569.883,19120.0,3382.435,"{'root--consul': 12.0, 'root--frontend': 6.0, 'root--geo': 8.0, 'root--jaeger': 6.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 9.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 10.966666666666667, 'root--mongodb-profile': 7.0, 'root--mongodb-rate': 9.966666666666667, 'root--mongodb-recommendation': 7.0, 'root--mongodb-reservation': 11.0, 'root--mongodb-user': 4.0, 'root--profile': 8.933333333333334, 'root--rate': 8.0, 'root--recommendation': 11.816666666666666, 'root--reservation': 8.966666666666667, 'root--search': 5.0, 'root--user': 8.933333333333334}",1711297810.0032187,1711297840.073608
1711297840.0750175,60232.0,4697.349,20050.0,4013.352,"{'root--consul': 12.0, 'root--frontend': 6.0, 'root--geo': 8.0, 'root--jaeger': 6.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 9.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 11.0, 'root--mongodb-profile': 7.0, 'root--mongodb-rate': 10.0, 'root--mongodb-recommendation': 7.0, 'root--mongodb-reservation': 11.0, 'root--mongodb-user': 4.0, 'root--profile': 9.0, 'root--rate': 8.0, 'root--recommendation': 12.0, 'root--reservation': 9.0, 'root--search': 5.0, 'root--user': 9.0}",1711297840.0750175,1711297870.1428888
1711297870.1441343,62501.0,4432.109,19780.0,3756.12,"{'root--consul': 12.0, 'root--frontend': 6.0, 'root--geo': 8.0, 'root--jaeger': 6.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 9.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 11.0, 'root--mongodb-profile': 7.0, 'root--mongodb-rate': 10.0, 'root--mongodb-recommendation': 7.0, 'root--mongodb-reservation': 11.0, 'root--mongodb-user': 4.0, 'root--profile': 9.0, 'root--rate': 8.0, 'root--recommendation': 12.0, 'root--reservation': 9.0, 'root--search': 5.0, 'root--user': 9.0}",1711297870.1441343,1711297900.7026274
1711297900.7040312,63809.0,4128.189,19510.0,3675.668,"{'root--consul': 11.901639344262295, 'root--frontend': 6.0, 'root--geo': 8.0, 'root--jaeger': 6.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.967213114754099, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 11.0, 'root--mongodb-profile': 7.0, 'root--mongodb-rate': 10.0, 'root--mongodb-recommendation': 7.0, 'root--mongodb-reservation': 11.0, 'root--mongodb-user': 4.0, 'root--profile': 9.0, 'root--rate': 8.0, 'root--recommendation': 12.0, 'root--reservation': 9.0, 'root--search': 5.0, 'root--user': 9.0}",1711297900.7040312,1711297931.263849
1711297931.265134,65956.0,4662.921,14800.0,2297.786,"{'root--consul': 9.0, 'root--frontend': 6.885245901639344, 'root--geo': 8.0, 'root--jaeger': 8.59016393442623, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 7.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 7.819672131147541, 'root--mongodb-rate': 7.0, 'root--mongodb-recommendation': 8.704918032786885, 'root--mongodb-reservation': 10.032786885245901, 'root--mongodb-user': 9.147540983606557, 'root--profile': 7.065573770491803, 'root--rate': 9.59016393442623, 'root--recommendation': 8.131147540983607, 'root--reservation': 8.081967213114755, 'root--search': 6.60655737704918, 'root--user': 9.0}",1711297931.265134,1711297961.8286097
1711297961.830101,62368.0,4837.12,19640.0,3303.865,"{'root--consul': 9.0, 'root--frontend': 7.0, 'root--geo': 8.0, 'root--jaeger': 9.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 7.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 7.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 10.0, 'root--mongodb-user': 10.0, 'root--profile': 7.0, 'root--rate': 10.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 7.0, 'root--user': 9.0}",1711297961.830101,1711297992.3877308
1711297992.389209,63846.0,4888.961,18630.0,2783.125,"{'root--consul': 9.0, 'root--frontend': 7.0, 'root--geo': 8.0, 'root--jaeger': 9.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 7.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 7.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 10.0, 'root--mongodb-user': 10.0, 'root--profile': 7.0, 'root--rate': 10.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 7.0, 'root--user': 9.0}",1711297992.389209,1711298022.452248
1711298022.4536507,64563.0,4756.378,17010.0,2546.933,"{'root--consul': 9.0, 'root--frontend': 7.0, 'root--geo': 8.0, 'root--jaeger': 9.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 7.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 7.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 10.0, 'root--mongodb-user': 10.0, 'root--profile': 7.0, 'root--rate': 10.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 7.0, 'root--user': 9.0}",1711298022.4536507,1711298053.0188797
1711298053.0202918,64087.0,4731.205,18510.0,2960.213,"{'root--consul': 9.0, 'root--frontend': 7.0, 'root--geo': 8.0, 'root--jaeger': 9.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 7.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 7.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 10.0, 'root--mongodb-user': 10.0, 'root--profile': 7.0, 'root--rate': 10.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 7.0, 'root--user': 9.0}",1711298053.0202918,1711298083.595388
